,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
3230,631a62f68755a8a989621348,2023-07-06,179,1,68023870,68023870.0,510179,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3231,631a62f68755a8a989621376,2023-08-24,130,4,26556150,6639037.5,199170,0,0.0,3,2,2,Menengah,2,Seasonal Seller
3235,631a62f6aa3096cbda28df49,2023-09-06,117,4,309546921,77386730.25,2321601,0,0.0,2,1,1,Menengah,2,Seasonal Seller
3240,631a62f6aa3096cbda28df8b,2023-07-13,172,1,45309998,45309998.0,339824,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3243,631a62f6aa3096cbda28dfb2,2023-10-06,87,1,39999999,39999999.0,299999,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3245,631a62f6aa3096cbda28dff3,2023-06-27,188,2,187194,93597.0,1403,1,50000.0,2,1,1,Mikro,2,Seasonal Seller
3246,631a62f6aa3096cbda28e012,2023-09-29,94,2,186000000,93000000.0,1395000,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3247,631a62f78755a8a9896213a6,2023-10-24,69,1,3698520,3698520.0,27738,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3249,631a62f78755a8a9896213dc,2023-10-17,76,1,106000,106000.0,795,1,50000.0,1,1,1,Mikro,2,Seasonal Seller
3254,631a62f88755a8a989621415,2023-10-26,67,1,169970,169970.0,1274,1,50000.0,1,1,1,Mikro,2,Seasonal Seller
3255,631a62f88755a8a98962142b,2023-07-04,181,2,240000,120000.0,1800,0,0.0,2,2,2,Menengah,2,Seasonal Seller
3256,631a62f88755a8a989621458,2023-10-02,91,2,125099874,62549937.0,938248,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3261,631a62f98755a8a9896214b0,2023-10-07,86,5,326448765,65289753.0,2448364,0,0.0,2,1,2,Mikro,2,Seasonal Seller
3267,631a62fa8755a8a989621534,2023-09-30,93,1,22000,22000.0,165,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3269,631a62fa8755a8a98962159d,2023-06-27,188,1,28737500,28737500.0,215531,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3273,631a62faaa3096cbda28e0db,2023-10-20,73,6,169898511,28316418.5,1274236,0,0.0,3,0,0,Kecil,2,Seasonal Seller
3275,631a62faaa3096cbda28e0e5,2023-09-29,94,5,368048583,73609716.6,2760364,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3276,631a62fb8755a8a989621608,2023-10-24,69,9,219999012,24444334.666666668,1649988,0,0.0,3,2,2,Mikro,2,Seasonal Seller
3286,631a62fcaa3096cbda28e153,2023-09-29,94,1,137000000,137000000.0,1027500,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3287,631a62fcaa3096cbda28e168,2023-10-03,90,7,78000000,11142857.142857144,585000,0,0.0,3,2,2,Menengah,2,Seasonal Seller
3289,631a62fd8755a8a9896216b0,2023-10-11,82,3,460800,153600.0,3455,3,150000.0,2,1,1,Mikro,2,Seasonal Seller
3292,631a62feaa3096cbda28e1fb,2023-10-10,83,1,194250000,194250000.0,1456875,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3298,631a62ff8755a8a989621772,2023-08-23,131,1,11269053,11269053.0,84517,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3299,631a62ff8755a8a98962177d,2023-09-13,110,1,58275000,58275000.0,437062,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3311,631a63008755a8a989621946,2023-06-28,187,1,72000,72000.0,540,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3324,631a63028755a8a989621aff,2023-10-19,74,4,5514999,1378749.75,41361,0,0.0,2,1,1,Mikro,2,Seasonal Seller
3325,631a63028755a8a989621b01,2023-08-10,144,2,173220,86610.0,1298,1,50000.0,2,2,2,Mikro,2,Seasonal Seller
3327,631a63028755a8a989621b09,2023-10-12,81,3,353454550,117818183.33333333,2650909,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3330,631a6302aa3096cbda28e39a,2023-08-12,142,5,188266400,37653280.0,1411997,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3332,631a63038755a8a989621b3f,2023-10-13,80,3,153753426,51251142.0,1153150,0,0.0,2,1,1,Kecil,2,Seasonal Seller
3335,631a6304aa3096cbda28e3c0,2023-09-21,102,1,107524414,107524414.0,806433,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3339,631a63058755a8a989621baa,2023-08-17,137,1,49950000,49950000.0,374625,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3340,631a6305aa3096cbda28e3e5,2023-10-10,83,1,114000,114000.0,855,1,50000.0,1,1,1,Kecil,2,Seasonal Seller
3349,631a6305aa3096cbda28e43a,2023-08-31,123,2,271950000,135975000.0,2039624,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3351,631a6305aa3096cbda28e469,2023-08-09,145,1,33855000,33855000.0,253912,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3352,631a6305aa3096cbda28e479,2023-10-17,76,3,213995250,71331750.0,1604963,0,0.0,2,2,2,Menengah,2,Seasonal Seller
3358,631a63068755a8a989621bf6,2023-07-21,164,1,37500,37500.0,281,0,0.0,1,0,0,Mikro,2,Seasonal Seller
3364,631a6307aa3096cbda28e4f3,2023-07-21,164,4,265314665,66328666.25,1989858,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3365,631a6307aa3096cbda28e50a,2023-08-14,140,2,130702500,65351250.0,980268,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3376,631a6309aa3096cbda28e572,2023-07-11,174,2,822000,411000.0,6164,0,0.0,2,2,2,Mikro,2,Seasonal Seller
3389,631a630aaa3096cbda28e5df,2023-10-07,86,1,8344980,8344980.0,62587,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3391,631a630aaa3096cbda28e5e5,2023-07-15,170,1,163890,163890.0,1229,0,0.0,1,1,1,Mikro,2,Seasonal Seller
